frame, Track_x, Track_y,Track.001_x,Track.001_y,Track.002_x,Track.002_y,Track.004_x,Track.004_y, 
1,204.63860893249500,369.3477051258090,271.1877454519270,440.33348178863500,81.5226981639862,587.8507533073430,68.31720900535580,120.18231350183500,
2,204.63474225997900,369.14413619041400,271.1877454519270,440.33348178863500,81.52270728349690,587.8507533073430,70.76197654008870,119.16053581237800,
3,204.6097912788390,368.9917438030240,271.18030393123600,440.1116030216220,81.50876355171200,587.5855071544650,73.16292026638990,118.1282953619960,
4,204.477321267128,368.66914200782800,271.16733598709100,440.0243375301360,81.50875443220140,587.5855071544650,75.9012995660305,116.94784194231000,
5,204.19354033470200,368.1959674358370,271.19137501716600,440.11763048172000,81.50865411758420,587.5854313373570,77.91541188955310,116.1875764131550,
6,202.79054009914400,368.3783075809480,271.19137501716600,440.11766839027400,81.51398903131490,587.6871778965000,80.78606057167050,116.69215822219800,
7,202.7906130552290,368.37785267829900,271.19137501716600,440.11766839027400,81.51676136255260,587.692257642746,80.6850346326828,116.86617743969000,
8,202.55874037742600,368.27750873565700,271.18601274490400,440.1877233982090,81.55650418996810,587.9147429466250,83.50032788515090,116.25280755758300,
9,202.3700394630430,367.9980089664460,271.1863045692440,440.18734431266800,81.5232726931572,587.83771276474,87.28564524650570,115.16963696479800,
10,202.28477203846000,367.73283863067600,271.1862863302230,440.18734431266800,81.54885292053220,587.8181140422820,88.79601860046390,114.69337284565000,
11,201.71952652931200,366.6127166748050,271.1863045692440,440.18734431266800,81.52216923236850,587.581223487854,89.06311082839970,114.8669655919080,
12,201.3212774991990,366.43989157676700,271.1862863302230,440.18734431266800,81.51673400402070,587.5833084583280,90.34748446941380,114.96548992395400,
13,199.40692806243900,367.37304854393000,271.1862863302230,440.18734431266800,81.48586446046830,587.7366485595700,91.6684820652008,115.24063968658400,
14,198.1360512971880,366.4652523994450,271.1862863302230,440.18734431266800,81.53101515769960,587.8095846176150,92.86431437730790,114.94940721988700,
15,197.90521824359900,365.6012406349180,271.1862863302230,440.1873822212220,81.53098779916760,587.8095846176150,93.6731784939766,114.20799171924600,
16,197.70902109146100,364.8705532550810,271.2077901363370,440.0767650604250,81.54055416584020,587.5833084583280,95.65471136569980,113.61713004112200,
17,195.67121171951300,365.38963508606000,271.20742535591100,440.0783951282500,81.52434879541400,587.5824744701390,97.74941736459730,113.05173343420000,
18,195.4938189983370,365.0415208339690,271.2076989412310,440.0771062374120,81.52457678318020,587.5824744701390,100.76912444829900,113.3168374300000,
19,195.59187197685200,365.6316432952880,271.2897015810010,440.5195748806,81.35792684555050,587.8781232833860,103.85678100585900,113.28834915161100,
20,195.54902851581600,365.6811897754670,271.2854701280590,440.4812114238740,81.35790860652920,587.8781232833860,107.45918834209400,112.32155781984300,
21,195.33267724514000,364.9846580028530,271.27368772029900,440.37810015678400,81.33498215675350,587.8208055496220,110.89935958385500,111.48556047678000,
22,194.83672177791600,364.3867642879490,271.239617228508,440.07286047935500,81.43787759542470,587.619549036026,114.81273311376600,111.30485039949400,
23,191.80940902233100,363.8658628463750,271.23773860931400,440.0641794204710,81.43666470050810,587.6012012958530,118.84179675579100,110.24073833227200,
24,188.84914290905,363.88519620895400,271.23733735084500,440.0650134086610,81.38112688064580,587.6310353279110,123.03661662340200,110.04122561216400,
25,187.55723655223800,363.4904923439030,271.21286058425900,440.25849866867100,81.3818746805191,587.8305480480190,127.62422293424600,110.37703853845600,
26,186.85206127166700,363.17073369026200,271.21477568149600,440.26407122612,81.38175612688070,587.8305480480190,131.51785272359800,110.12747704982800,
27,186.3566347360610,362.6815617084500,271.21477568149600,440.2638816833500,81.38184732198720,587.8305480480190,135.1305195093160,109.47027540206900,
28,183.18388402462000,362.7617003917690,271.21475744247400,440.2637300491330,81.38236713409420,587.8384330272680,141.0768599510190,109.38099128007900,
29,182.20412027835800,362.1936786174770,271.21477568149600,440.2638816833500,81.31034123897550,587.7191727161410,146.6061742901800,109.0710414648060,
30,182.36588215827900,362.64767146110500,271.23148262500800,440.2572476863860,81.30439531803130,587.7127661705020,150.59277749061600,108.89466243982300,
31,181.73864221572900,361.8311970233920,271.23148262500800,440.2567927837370,81.32392930984500,587.8363101482390,154.14756274223300,109.85261160135300,
32,180.35685396194500,361.6386594772340,271.1919586658480,440.2298777103420,81.28387641906740,587.7439649105070,158.5083485841750,110.23798048496200,
33,179.47125828266100,361.090842962265,271.19128382206000,440.2284371852880,81.34695607423780,587.6605660915380,162.72384238243100,110.84256505966200,
34,178.6172161102300,360.6142945289610,271.19173979759200,440.2292332649230,81.34676456451420,587.6485111713410,167.08577728271500,112.11644411087000,
35,178.32112383842500,360.8846583366390,271.16866743564600,440.1575860977170,81.34510481357570,587.6486248970030,170.95026111602800,112.90667635202400,
36,177.90587604045900,360.67089200019800,271.16861271858200,440.15751028060900,81.34490418434140,587.6486248970030,175.94259130954700,113.16073000431100,
37,177.03197157383000,360.0980558395390,271.1318063735960,440.0897297859190,81.5327478647232,587.8209192752840,179.0641815662380,114.89219373464600,
38,176.85948514938400,359.9269745349880,271.1307302713390,440.0899193286900,81.53285729885100,587.8209192752840,183.18824315071100,115.93372178077700,
39,168.21894943714100,360.1593918800350,271.130766749382,440.0899193286900,81.53291201591490,587.820995092392,187.89221441745800,116.26203829050100,
40,166.8137605190280,358.2864818573000,271.1306755542760,440.0899193286900,81.53438937664030,587.8221323490140,191.6478295326230,118.11707442998900,
41,166.84556937217700,358.4847435951230,271.13109505176500,440.1620213985440,81.55735230445860,587.8528382778170,194.70116937160500,119.65460747480400,
